StudyID,Study,T,N,Mean,SD
133,"Dalleck et al., 2009 30-min Ex",2,8,-2.2,5.99
133,"Dalleck et al., 2009 30-min Ex",1,10,1.8,5.61
134,"Dalleck et al., 2009 45-min Ex",2,8,7.8,5.32
134,"Dalleck et al., 2009 45-min Ex",1,10,1.8,5.61
135,"Duncan et al., 1991 Aerobic",2,13,0,4.84
135,"Duncan et al., 1991 Aerobic",1,10,1,4.22
136,"Duncan et al., 1991 Brisk",2,12,-1,4.82
136,"Duncan et al., 1991 Brisk",1,10,1,4.22
137,"Duncan et al., 1991 Strollers",2,18,0,5.53
137,"Duncan et al., 1991 Strollers",1,10,1,4.22
138,"Foulds et al., 2014 10min, 1p/w",2,10,4,6.32
138,"Foulds et al., 2014 10min, 1p/w",1,10,-1,3.79
139,"Foulds et al., 2014 10min, 3p/w",2,10,4,5
139,"Foulds et al., 2014 10min, 3p/w",1,10,-1,3.79
140,"Foulds et al., 2014 30min, 3p/w",2,18,0,4.84
140,"Foulds et al., 2014 30min, 3p/w",1,10,-1,3.79
141,"Foulds et al., 2014 60min, 3p/w",2,10,3,5
141,"Foulds et al., 2014 60min, 3p/w",1,10,-1,3.79
142,"Fritz et al., 2013 IGT",2,14,0,6.84
142,"Fritz et al., 2013 IGT",1,21,-2,4.84
143,"Fritz et al., 2013 NGT",2,53,-2,6.84
143,"Fritz et al., 2013 NGT",1,75,-1,5.4
144,"Fritz et al., 2013 T2DM",2,20,-1,4.84
144,"Fritz et al., 2013 T2DM",1,30,0,5.06
145,"Goldie et al., 2012",2,20,-5.3,8.59
145,"Goldie et al., 2012",1,20,-1.2,6.96
146,"Hamdorf et al., 1999",2,18,3.5,5.68
146,"Hamdorf et al., 1999",1,20,3.9,6.77
147,"He et al., 2018",2,22,-1,3.16
147,"He et al., 2018",1,20,1,2.68
148,"Headley et al., 2017",2,25,-1.7,6.59
148,"Headley et al., 2017",1,21,-3.8,8.88
149,"Herzig et al., 2014",2,33,-4,5.06
149,"Herzig et al., 2014",1,35,-5,5.46
150,"Higashi et al., 1999",2,20,-4,3.17
150,"Higashi et al., 1999",1,7,-0.2,2.83
151,"Hur et al., 2014 Not Type D",2,12,-4.2,4.47
151,"Hur et al., 2014 Not Type D",1,10,-0.5,6.27
152,"Hur et al., 2014 Type D",2,12,-5,2.4
152,"Hur et al., 2014 Type D",1,12,-0.8,3.87
153,"Khalid et al., 2013",2,15,-9,3.25
153,"Khalid et al., 2013",1,15,0,2.54
154,"Koh et al., 2010",2,15,1,10.12
154,"Koh et al., 2010",1,16,-5,9.49
155,"Kucio et al., 2017",2,15,-2.9,4.2
155,"Kucio et al., 2017",1,11,-0.8,3.51
